imdb_id,original_title,popularity,release_date,revenue,runtime,Genres
tt0109021,8 Seconds,1.888534,25-02-1994,0,105,Adventure
tt0106489,A Bronx Tale,6.115628,14-09-1993,17287898,121,Thriller
tt0116275,A Family Thing,6.207993,29-03-1996,0,109,Drama
tt0109920,A Good Man in Africa,5.22583,14-07-1994,0,94,Adventure
tt0113198,A Goofy Movie,10.177977,07-04-1995,35348597,78,Documentry
tt0109934,A Great Day in Harlem,0.076352,27-09-1994,0,60,Action
tt0113538,A Kid in King Arthur's Court,5.874511,11-08-1995,0,89,Drama
tt0113670,A Little Princess,7.731725,10-05-1995,0,97,Drama
tt0110399,A Low Down Dirty Shame,3.021526,23-11-1994,29392418,100,Action
tt0110455,A Man of No Importance,0.406113,22-12-1994,953,99,Adventure
tt0113403,A Midwinter's Tale,0.513391,01-12-1995,0,99,Drama
tt0113839,A Modern Affair,0.173207,06-09-1996,0,90,Adventure
tt0107808,A Perfect World,8.040589,24-11-1993,135130999,138,Adventure
tt0114210,A Pyromaniac's Love Story,0.463307,28-04-1995,0,94,Documentry
tt0111194,A Simple Twist of Fate,4.13516,02-09-1994,0,106,Thriller
tt0117891,A Thin Line Between Love and Hate,2.256747,04-04-1996,0,108,Music
tt0114887,A Walk in the Clouds,9.715639,11-08-1995,50012507,103,Drama
tt0109035,Above the Rim,4.38154,23-03-1994,0,96,Drama
tt0109040,Ace Ventura: Pet Detective,11.247957,04-02-1994,107217396,86,Drama
tt0112281,Ace Ventura: When Nature Calls,8.205448,10-11-1995,212385533,90,Thriller
tt0112286,Across the Sea of Time,0.114469,20-10-1995,0,51,Family
tt0106220,Addams Family Values,17.555909,19-11-1993,48919043,94,Drama
tt0115509,All Dogs Go to Heaven 2,5.028897,29-03-1996,8620678,82,Action
tt0109093,Amateur,1.759012,05-08-1994,0,105,Drama
tt0112427,An Awfully Big Adventure,0.922958,21-07-1995,851545,113,Family
tt0109120,Andre,3.139316,17-08-1994,0,94,Action
tt0112364,Angela,2.197439,01-01-1995,0,99,Adventure
tt0112365,Angels and Insects,2.15166,10-09-1995,0,118,Fantasy
tt0112373,Anne Frank Remembered,0.243986,08-06-1995,1,117,Comedy
tt0106292,Another Stakeout,12.967239,22-07-1993,0,105,Drama
tt0112379,Antonia,2.030174,12-09-1995,0,102,Drama
tt0112384,Apollo 13,18.761467,30-06-1995,355237933,140,Drama
tt0112401,Assassins,11.065939,06-10-1995,30303072,132,Music
tt0112431,Babe,14.404764,18-07-1995,254134910,89,Comedy
tt0106339,Backbeat,2.487951,01-04-1994,0,100,Thriller
tt0112442,Bad Boys,9.262184,07-04-1995,141407024,118,Comedy
tt0112443,Bad Company,0.912415,20-01-1995,0,108,Action
tt0109198,Bad Girls,14.644772,22-04-1994,15240435,99,Comedy
tt0112453,Balto,12.140733,22-12-1995,11348324,78,Drama
tt0109219,Barcelona,1.632711,29-07-1994,0,100,Comedy
tt0096895,Batman,19.10673,23-06-1989,411348924,126,Thriller
tt0112462,Batman Forever,13.321354,16-06-1995,336529144,121,Drama
tt0115639,Beautiful Girls,4.670562,09-02-1996,0,112,Drama
tt0101414,Beauty and the Beast,23.433511,13-11-1991,377350553,84,Documentry
tt0115644,Bed of Roses,10.412194,26-01-1996,19030691,87,Documentry
tt0115645,Before and After,2.938293,23-02-1996,0,108,Fantasy
tt0112471,Before Sunrise,11.304979,27-01-1995,5535405,105,Music
tt0110882,Before the Rain,3.525649,09-06-1994,763847,113,Music
tt0106379,Being Human,2.783872,06-05-1994,0,122,Animation
tt0061395,Belle de jour,10.142662,24-05-1967,0,101,Adventure
tt0109254,Beverly Hills Cop III,11.787784,24-05-1994,119208989,104,Family
tt0106402,Beyond Bedlam,0.426952,22-04-1994,0,89,Drama
tt0112495,Beyond Rangoon,2.04189,24-05-1995,0,100,Thriller
tt0106408,Bhaji on the Beach,0.441585,21-01-1994,0,100,Music
tt0115676,Big Bully,2.936443,26-01-1996,2042530,90,Adventure
tt0112508,Billy Madison,6.638116,10-02-1995,26488734,89,Thriller
tt0115683,Bio-Dome,6.387469,12-01-1996,0,88,Family
tt0104779,Bitter Moon,11.298195,02-09-1992,1862805,139,Thriller
tt0109279,Black Beauty,8.398845,29-07-1994,0,88,Drama
tt0115697,Black Sheep,8.963037,01-02-1996,32,87,Comedy
tt0083658,Blade Runner,96.272374,25-06-1982,33139618,117,Music
tt0109297,Blink,3.00282,26-01-1994,16668552,106,Drama
tt0109303,Blown Away,13.155071,01-07-1994,30156002,121,Drama
tt0109305,Blue Chips,6.131056,18-02-1994,0,108,Adventure
tt0112541,Blue in the Face,11.528147,15-09-1995,1275000,83,Thriller
tt0109306,Blue Sky,4.993829,16-09-1994,0,101,Drama
tt0106452,Body Snatchers,6.559693,09-06-1993,428868,87,Adventure
tt0103859,Boomerang,6.506983,30-06-1992,70100000,117,Drama
tt0115734,Bottle Rocket,6.904831,21-02-1996,560069,91,Thriller
tt0106471,Boxing Helena,4.304224,18-06-1993,1796389,107,Thriller
tt0112570,"Boys Life: Three Stories of Love, Lust, and Liberation",0.054148,30-09-1994,0,91,Drama
tt0112571,Boys on the Side,3.030309,03-02-1995,23450000,115,Drama
tt0112573,Braveheart,20.755149,24-05-1995,210000000,177,Drama
tt0115759,Broken Arrow,14.957626,09-02-1996,150270147,108,Drama
tt0109339,Brother Minister: The Assassination of Malcolm X,0.0368,01-03-1995,0,115,Documentry
tt0109348,Bullets Over Broadway,5.72288,14-10-1994,0,98,Documentry
tt0112602,Bushwhacked,3.287036,04-08-1995,0,90,Adventure
tt0112606,Bye Bye Love,2.47308,16-03-1995,0,106,Adventure
tt0109361,Cabin Boy,1.679042,07-01-1994,3662459,80,Documentry
tt0106505,Calendar Girl,1.316741,03-09-1993,2570145,90,Adventure
tt0109370,Canadian Bacon,5.391556,08-06-1995,178104,91,Documentry
tt0112625,Candyman: Farewell to the Flesh,4.983552,17-03-1995,13940383,93,Action
tt0106519,Carlito's Way,8.698509,10-11-1993,36516012,144,Documentry
tt0109382,Caro diario,2.904734,12-10-1993,0,100,Family
tt0115837,Carried Away,1.67218,26-01-1996,0,109,Drama
tt0112637,Carrington,1.493361,08-11-1995,0,121,Comedy
tt0112641,Casino,10.137389,22-11-1995,116112375,178,Drama
tt0112642,Casper,12.812539,26-05-1995,287928194,100,Adventure
tt0112643,Castle Freak,2.26977,04-08-1995,0,95,Action
tt0112646,Catwalk,0.976707,08-12-1995,0,95,Adventure
tt0106537,Century,1.461029,31-12-1993,0,112,Drama
tt0109403,Chasers,9.85327,22-04-1994,1596687,102,Thriller
tt0112679,Circle of Friends,2.605521,16-03-1995,0,103,Adventure
tt0115907,City Hall,4.807223,16-02-1996,0,111,Thriller
tt0109439,City Slickers II: The Legend of Curly's Gold,8.605703,10-06-1994,0,116,Music
tt0109443,Clean Slate,2.724621,06-05-1994,7355425,107,Music
tt0109444,Clear and Present Danger,7.513245,03-08-1994,215887717,141,Adventure
tt0109445,Clerks,10.513367,13-09-1994,3151130,92,Fantasy
tt0106582,Cliffhanger,9.830853,28-05-1993,255000211,112,Thriller
tt0112688,Clockers,4.558992,15-09-1995,13071518,128,Documentry
tt0112697,Clueless,9.882383,19-07-1995,0,97,Drama
tt0109450,Cobb,2.583363,02-12-1994,1007583,128,Adventure
tt0112702,Coldblooded,2.342756,15-09-1995,0,92,Drama
tt0109456,Color of Night,14.228963,19-08-1994,19726050,121,Drama
tt0103994,Como agua para chocolate,4.126083,16-04-1992,21665468,105,Thriller
tt0112712,Condition Red,0.793932,08-12-1995,0,83,Documentry
tt0106598,Coneheads,10.722729,23-07-1993,0,88,Adventure
tt0112715,Congo,7.260574,09-06-1995,152022101,109,Music
tt0109480,Cops & Robbersons,7.042878,15-04-1994,0,93,Drama
tt0112722,Copycat,10.701801,27-10-1995,0,124,Documentry
tt0109484,"Corrina, Corrina",6.924689,12-08-1994,0,115,Music
tt0112740,Crimson Tide,8.657365,12-05-1995,157387195,116,Music
tt0104029,Cronos,5.513024,12-09-1993,0,94,Documentry
tt0109504,Crooklyn,2.533022,13-05-1994,0,115,Music
tt0109508,Crumb,3.620388,10-09-1994,3174695,119,Thriller
tt0112749,"Cry, the Beloved Country",0.894647,15-12-1995,676525,106,Drama
tt0112760,Cutthroat Island,7.284477,22-12-1995,10017322,119,Adventure
tt0099348,Dances with Wolves,11.654349,09-11-1990,424208848,181,Adventure
tt0106660,Dangerous Game,2.70097,19-11-1993,0,108,Adventure
tt0112792,Dangerous Minds,9.481338,11-08-1995,180000000,99,Fantasy
tt0106673,Dave,13.696394,07-05-1993,63000000,110,Fantasy
tt0106677,Dazed and Confused,6.8652,24-09-1993,7993039,102,Action
tt0106678,De eso no se habla,1.213481,20-05-1993,0,106,Family
tt0112818,Dead Man Walking,6.891317,29-12-1995,39363635,122,Animation
tt0112819,Dead Presidents,9.87957,06-10-1995,0,119,Adventure
tt0109579,Death and the Maiden,5.484156,04-05-1994,0,103,Family
tt0106697,Demolition Man,11.626116,08-10-1993,159055768,115,Drama
tt0112844,Denise Calls Up,0.466476,17-05-1995,0,80,Fantasy
tt0112849,Desert Winds,0.251223,31-12-1997,0,97,Drama
tt0112851,Desperado,6.950458,25-08-1995,25405445,104,Adventure
tt0112854,Destiny Turns on the Radio,0.710671,28-04-1995,0,0,Animation
tt0112857,Devil in a Blue Dress,4.646132,15-09-1995,16140822,102,Drama
tt0116095,Diabolique,4.530079,22-03-1996,0,107,Family
tt0112864,Die Hard: With a Vengeance,15.138855,19-05-1995,366101666,128,Drama
tt0107472,Die Macht der Bilder: Leni Riefenstahl,0.568884,11-09-1993,449707,180,Comedy
tt0109635,Disclosure,11.812244,09-12-1994,214015089,123,Drama
tt0109642,Dolores Claiborne,5.8025,24-03-1995,0,132,Family
tt0112883,Don Juan DeMarco,7.438934,01-10-1994,22200000,97,Action
tt0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,11.700115,12-01-1996,0,89,Animation
tt0109655,Double Happiness,0.372239,07-09-1994,759393,87,Drama
tt0116130,Down Periscope,5.184977,01-03-1996,0,92,Adventure
tt0112896,Dracula: Dead and Loving It,5.430331,22-12-1995,0,88,Drama
tt0112899,Dream Man,0.155859,01-01-1995,0,0,Comedy
tt0109676,Drop Zone,9.579155,08-12-1994,0,101,Comedy
tt0109686,Dumb and Dumber,9.844558,16-12-1994,247275374,107,Drama
tt0109758,Exit to Eden,4.322726,14-10-1994,6841570,113,Adventure
tt0109759,Exotica,5.378467,24-09-1994,0,103,Drama
tt0116260,Eye for an Eye,4.733526,12-01-1996,0,101,Comedy
tt0113010,Fair Game,5.912223,03-11-1995,11534477,91,Adventure
tt0113014,Fall Time,1.108494,13-05-1995,0,88,Drama
tt0113028,Far from Home: The Adventures of Yellow Dog,2.657337,13-01-1995,0,87,Thriller
tt0116282,Fargo,12.61469,05-04-1996,60611975,98,Comedy
tt0109771,Farinelli,8.935058,07-12-1994,0,111,Music
tt0059170,"Faster, Pussycat! Kill! Kill!",4.220541,06-08-1965,0,83,Comedy
tt0106873,Fatal Instinct,3.555139,29-10-1993,0,91,Animation
tt0113041,Father of the Bride Part II,8.387519,10-02-1995,76578911,106,Action
tt0106880,Fear of a Black Hat,0.985441,28-10-1994,0,88,Drama
tt0106881,Fearless,9.284624,15-10-1993,0,122,Drama
tt0113044,Feast of July,0.523575,12-10-1995,0,116,Adventure
tt0109785,Federal Hill,0.100685,24-02-1995,0,97,Music
tt0113071,First Knight,15.178338,07-07-1995,127600435,134,Fantasy
tt0106926,Flesh and Bone,1.896869,05-11-1993,9488998,126,Adventure
tt0116324,Flirting with Disaster,5.579088,22-03-1996,14702438,92,Drama
tt0113089,Fluke,4.953936,02-06-1995,0,96,Documentry
tt0106941,For Love or Money,8.468869,01-10-1993,11146270,94,Adventure
tt0109828,Foreign Student,0.002789,29-07-1994,0,90,Drama
tt0113097,Forget Paris,16.236745,19-05-1995,0,101,Thriller
tt0109830,Forrest Gump,48.307194,06-07-1994,677945399,142,Drama
tt0113101,Four Rooms,9.026586,09-12-1995,4300000,98,Thriller
tt0109831,Four Weddings and a Funeral,8.990345,09-03-1994,254700832,117,Action
tt0113104,Frank and Ollie,0.142357,20-10-1995,0,89,Drama
tt0109836,Frankenstein,14.287753,04-11-1994,112006296,123,Drama
tt0113107,Frankie Starlight,0.637554,22-11-1995,0,101,Documentry
tt0106965,Free Willy,5.990572,16-07-1993,153698625,112,Thriller
tt0113114,Free Willy 2 - The Adventure Home,7.575098,19-07-1995,0,95,Action
tt0113117,French Kiss,9.146544,05-05-1995,0,111,Adventure
tt0106966,Fresa y chocolate,1.777197,01-01-1993,0,108,Adventure
tt0109842,Fresh,3.970215,24-08-1994,0,114,Documentry
tt0113118,Friday,14.56965,26-04-1995,28215918,91,Adventure
tt0113122,Frisk,0.319215,22-03-1996,0,88,Comedy
tt0116367,From Dusk Till Dawn,15.339153,19-01-1996,25836616,108,Drama
tt0113125,From the Journals of Jean Seberg,0.276401,08-09-1995,0,97,Drama
tt0113149,Gazon maudit,2.518051,08-02-1995,0,95,Drama
tt0113158,Georgia,4.093443,19-05-1995,0,115,Drama
tt0107002,Germinal,2.759302,29-09-1993,0,160,Thriller
tt0107004,Geronimo: An American Legend,4.653462,10-12-1993,18635620,115,Documentry
tt0113161,Get Shorty,12.669608,20-10-1995,115101622,105,Adventure
tt0109891,Getting Even with Dad,2.410545,17-06-1994,0,109,Music
tt0099653,Ghost,11.945397,12-07-1990,505000000,127,Drama
tt0116414,Girl 6,4.405169,22-03-1996,4939939,108,Family
tt0113173,Girl in the Cadillac,0.405392,24-10-1995,0,89,Adventure
tt0109913,Go Fish,0.775898,10-06-1994,0,83,Thriller
tt0113189,GoldenEye,14.686036,16-11-1995,352194034,130,Family
tt0113199,Gordy,0.398924,12-05-1995,3992809,90,Music
tt0113200,Gospa,0.918504,12-10-1995,0,125,Drama
tt0113228,Grumpier Old Men,11.7129,22-12-1995,0,101,Adventure
tt0109950,Guardian Angel,0.595949,22-11-1994,0,93,Music
tt0114952,"Guillaumet, les ailes du courage",0.745542,18-09-1996,0,50,Drama
tt0107057,Guilty as Sin,5.385108,04-06-1993,22886222,107,Drama
tt0113234,Gumby: The Movie,0.090452,01-12-1995,0,77,Thriller
tt0113243,Hackers,14.810519,14-09-1995,7563728,107,Drama
tt0116483,Happy Gilmore,9.592265,16-02-1996,41205099,92,Documentry
tt0107076,Hard Target,7.834351,20-08-1993,74189677,97,Drama
tt0089256,Harem,1.825468,20-11-1985,0,113,Drama
tt0113276,Headless Body in Topless Bar,0.001346,20-05-1995,0,110,Drama
tt0113277,Heat,17.924927,15-12-1995,187436818,170,Drama
tt0107096,Heaven & Earth,4.190541,24-12-1993,0,140,Action
tt0110005,Heavenly Creatures,9.438042,02-09-1994,3049135,99,Drama
tt0082509,Heavy Metal,7.640073,07-08-1981,0,90,Animation
tt0110006,Heavyweights,9.546707,17-02-1995,17689177,100,Fantasy
tt0113283,Heidi Fleiss: Hollywood Madam,0.638211,27-12-1995,0,106,Adventure
tt0116514,Hellraiser: Bloodline,5.263187,08-03-1996,16675000,86,Family
tt0113303,Hideaway,8.182165,03-03-1995,12201255,103,Adventure
tt0113305,Higher Learning,7.817811,11-01-1995,38290723,127,Adventure
tt0110027,Highlander III: The Sorcerer,6.866634,29-11-1994,36800000,99,Music
tt0113319,Homage,0.014925,03-05-1995,0,97,Thriller
tt0099785,Home Alone,0.702543,09-11-1990,476684675,103,Drama
tt0113321,Home for the Holidays,8.416802,02-11-1995,17519169,103,Adventure
tt0116552,Homeward Bound II: Lost in San Francisco,14.657754,08-03-1996,32709423,89,Comedy
tt0110057,Hoop Dreams,9.47666,12-09-1994,7830611,171,Drama
tt0107144,Hot Shots! Part Deux,13.482371,21-05-1993,133752825,86,Adventure
tt0110064,House Party 3,0.996047,01-01-1994,0,100,Comedy
tt0110066,Houseguest,2.688562,06-01-1995,26325256,113,Action
tt0113347,How To Make An American Quilt,4.485958,06-10-1995,23574130,116,Thriller
tt0110091,I Like It Like That,0.289295,14-10-1994,1777020,104,Fantasy
tt0110093,I Love Trouble,3.570874,29-06-1994,61947267,123,Action
tt0110099,I.Q.,5.146352,24-12-1994,0,100,Drama
tt0116606,If Lucy Fell,2.891918,08-03-1996,0,92,Animation
tt0110877,Il postino,10.168437,22-09-1994,0,108,Fantasy
tt0110097,I'll Do Anything,1.742974,04-02-1994,0,115,Animation
tt0110116,Immortal Beloved,7.983666,16-12-1994,0,121,Adventure
tt0110123,In the Army Now,6.071466,12-08-1994,28881266,91,Family
tt0107206,In the Line of Fire,12.637158,08-07-1993,176997168,128,Family
tt0113409,In the Mouth of Madness,8.497643,12-12-1994,8946600,95,Thriller
tt0107207,In the Name of the Father,7.405895,12-12-1993,65796862,133,Drama
tt0110148,Interview with the Vampire,11.970205,11-11-1994,223664608,123,Comedy
tt0110167,It Could Happen to You,11.272073,29-07-1994,0,101,Drama
tt0113442,It Takes Two,7.777735,17-11-1995,0,101,Family
tt0113448,Jack & Sarah,1.523446,02-06-1995,218626,110,Animation
tt0113451,Jade,11.418917,13-10-1995,9851610,95,Music
tt0116684,Jane Eyre,2.420301,09-02-1996,0,112,Drama
tt0110186,Jason's Lyric,0.912909,28-09-1994,20851521,119,Animation
tt0113463,Jefferson in Paris,1.596058,31-03-1995,2474000,139,Comedy
tt0113464,Jeffrey,3.196456,18-08-1995,0,92,Comedy
tt0110197,Jimmy Hollywood,4.563989,30-03-1994,0,112,Adventure
tt0113481,Johnny Mnemonic,11.715868,26-05-1995,19075720,97,Comedy
tt0113492,Judge Dredd,8.184815,30-06-1995,113493481,96,Animation
tt0107286,Judgment Night,5.538671,15-10-1993,12136938,110,Drama
tt0113497,Jumanji,17.015539,15-12-1995,262797249,104,Action
tt0110216,Junior,6.710215,22-11-1994,37000000,109,Family
tt0110217,Jupiter's Wife,0.001178,01-01-1995,0,87,Thriller
tt0107290,Jurassic Park,8.863776,11-06-1993,920100000,127,Adventure
tt0113500,Jury Duty,3.676921,12-04-1995,17014653,88,Family
tt0110251,Keiner liebt mich,1.015068,07-11-1994,0,104,Music
tt0113537,Kicking and Screaming,3.367276,06-10-1995,718490,96,Thriller
tt0113540,Kids,4.877872,28-07-1995,7412216,91,Family
tt0113541,Kids of the Round Table,0.307075,08-07-1997,0,89,Action
tt0107315,Kika,3.647321,28-10-1993,0,117,Documentry
tt0110259,Killer,0.422224,14-09-1994,0,97,Drama
tt0110265,Killing Zoe,4.948569,01-10-1993,418961,96,Thriller
tt0107322,King of the Hill,4.375347,20-08-1993,0,103,Documentry
tt0113552,Kiss of Death,7.797512,21-04-1995,0,101,Drama
tt0113083,La flor de mi secreto,2.286788,22-09-1995,0,107,Drama
tt0113247,La Haine,12.108196,31-05-1995,0,98,Adventure
tt0110963,La Reine Margot,4.405405,13-05-1994,0,162,Action
tt0114671,Land and Freedom,6.144235,01-01-1995,0,109,Adventure
tt0110305,Lassie,3.645342,22-07-1994,0,94,Adventure
tt0107362,Last Action Hero,9.434006,18-06-1993,137298489,130,Documentry
tt0113612,Last Summer in the Hamptons,0.531159,22-11-1995,0,108,Adventure
tt0116839,Lawnmower Man 2: Beyond Cyberspace,2.49535,12-01-1996,2409225,92,Drama
tt0112556,Le Bonheur est dans le pré,1.254885,31-01-1995,0,106,Drama
tt0109454,Le colonel Chabert,0.934312,01-01-1994,0,110,Comedy
tt0112714,Le confessionnal,0.120789,29-09-1995,0,100,Action
tt0113627,Leaving Las Vegas,10.332025,27-10-1995,49800000,112,Thriller
tt0110322,Legends of the Fall,12.199047,16-12-1994,160638883,133,Documentry
tt0113749,Mallrats,8.25547,20-10-1995,2122561,94,Drama
tt0113755,Man of the House,2.558118,03-03-1995,0,96,Drama
tt0113756,Man of the Year,0.540436,15-09-1995,209935,86,Drama
tt0107507,Manhattan Murder Mystery,8.939404,18-08-1993,11285588,104,Action
tt0113774,Margaret's Museum,0.372697,13-09-1995,0,114,Action
tt0111804,Martin Lawrence: You So Crazy,0.394194,27-04-1994,0,84,Action
tt0117002,Mary Reilly,12.866139,23-02-1996,12379402,104,Family
tt0110478,Maverick,15.050326,20-05-1994,0,127,Drama
tt0107554,Menace II Society,5.260924,26-05-1993,27900000,97,Adventure
tt0107566,Mi Vida Loca,1.788829,08-06-1994,0,92,Music
tt0113808,Miami Rhapsody,1.137266,27-01-1995,5,95,Action
